,Water,Settlement,Dark soil, Bright soil,Vegetation,Agriculture,Cloud,Cloud shadow
1833,0.5094159,9.684964,7.575823,17.862278,10.427278,,17.99525,2.2536306
1834,0.6353196,9.259304,7.565656,18.20249,10.2607355,,17.254093,2.7190862
1835,0.72664684,7.451692,7.528678,18.34995,9.864203,,16.523552,2.0395808
1836,0.6415768,7.774411,7.576184,18.973288,10.392734,,16.784323,2.429954
1837,0.7254139,7.466755,7.8257184,19.100952,10.3473,,17.05075,2.214778
1838,0.8333665,8.441594,7.801428,18.77417,9.766542,,16.738823,2.1277478
1839,0.8095817,8.835957,7.9120555,18.596949,10.035467,,18.256887,2.3180132
1840,0.6110538,5.590482,7.6444216,16.766626,10.005412,,19.585232,2.5276537
1841,0.6669181,5.672958,7.6295376,16.347357,9.8860655,,19.375847,2.2493248
1842,0.662658,8.348686,7.652393,18.076303,10.385414,,19.498476,2.1873205
1843,0.71443456,9.518019,7.564927,17.818201,10.480683,,18.588707,2.2884877
1844,0.76663697,9.646227,7.3717337,17.732708,10.249789,,16.755,2.4896579
1845,0.7456826,8.641443,7.308865,18.20148,9.65042,,16.814417,2.2701948
1846,0.83410704,9.463509,7.476851,18.417543,9.960786,,16.626432,2.1081295
1847,0.73118925,8.617702,7.4649124,19.155748,9.911342,,16.91876,2.149743
1848,0.6754336,8.675484,7.7576838,19.168419,10.193996,,16.993635,2.2392838
1849,0.62390614,9.524296,7.7258706,18.3231,10.348474,,17.14225,2.434673
1850,0.6035263,7.0494914,7.8466005,18.062605,10.667462,,19.303288,2.5806906
1851,0.7270421,6.352035,7.634216,15.740621,10.309191,,19.491873,2.37339
1852,0.7159757,8.720658,7.6701612,15.287116,10.521396,,19.454115,2.3781533
1853,0.74673533,8.97788,7.526349,18.12925,10.686047,,20.134518,2.5708501
1854,0.68387306,9.429532,7.5500298,17.689072,10.061747,,16.224878,2.6973953
1855,0.75743973,9.074181,7.543431,17.631933,9.706024,,15.41264,2.1913948
1856,0.8096518,8.356201,7.520117,18.167019,10.07468,,15.459597,1.9650644
1857,0.7358797,8.088924,7.7758284,18.43875,10.037023,,16.657255,2.052052
1858,0.7562922,8.918746,7.6882267,19.18988,10.198887,,17.038486,2.183012
1859,0.56319094,9.058579,7.556901,19.161558,10.165154,,18.573374,2.3648012
1860,0.84204733,7.2743764,7.3685884,18.275942,10.58965,,19.484499,2.417478
1861,0.8203115,7.2986097,7.5245104,17.914219,10.357107,,21.023499,2.7050862
1862,0.5206949,9.389804,7.540049,15.416022,10.50341,,20.69608,2.589499
1863,0.73566735,8.7356825,7.5682783,14.991563,10.7079315,,21.58115,2.6294115
1864,0.712558,10.05947,7.675146,18.014608,10.097662,,22.451694,2.9358468
1865,0.7634214,11.244354,7.677899,17.916218,9.879543,,15.69488,2.1605506
1866,0.7052384,9.889629,7.678306,17.877588,10.1552515,,15.121033,2.0404446
1867,0.62810487,9.170885,7.5011744,18.569782,10.02659,,15.08095,1.7931424
1868,0.7221455,10.371848,7.6060576,18.906277,10.846108,,16.20876,1.9635831
1869,0.72825426,10.146625,7.713133,19.25898,10.821673,,16.769737,2.3014045
1870,0.77346367,10.259547,7.530503,19.149488,11.158462,,19.178562,2.3660824
1871,0.7376401,10.805859,7.773704,17.735,11.353668,,20.7809,2.7761776
